LEAD WASTE RE-PROCESSORS,,,,,
,,,,,
,S. No.,Name of the unit,Address,Locality,State
,1,Anantha Lead (Aishwarya Metal Refineries),"148-150, IDA-Medchal",Rangareddy,Andhra Pradesh
,2,NILE Ltd,"Panthangi Village, Choutuppal Mandal",Nalgonda,Andra Pradesh
,3,S. K. Metal Industries,"S.No. 206, Plot No. 1. Vill. Veraval, Taluk Kotadasangani",Rajkot,Gujarat
,4,Om Enterprises,"B-9, Prem Colony, Kundli",Sonepat,Haryana
,5,Ananda Metal Corporation," C-81, Industrial Estate, Peenya III Stage",Bangalore,Karnataka
,6,Eswari Metal Industries,"Flat No. 101, Industrial Area, Bikampadi",Mangalore,Karnataka
,7,Hemalata Metal Mart," 65-B, 3rdStage Penya Industrial Estate",Bangalore,Karnataka
,8,Sri Saraswati Metal Industries,"Shed B-40, Veerasandra, Industrial Estate, Anekal Taluk, ",Bangalore,karnataka
,9,Ganpati Metals," Survey No. 308, Gram Manglia, A.B. Road, ",Indore,Madhya Pradesh
,10,M.S. Metals,"Plot No. 300, Sector-F, Industrial Estate, Sanwar Road",Indore,Madhya Pradesh
,11,Manoj Industries,"Plot No. 15-16-D, Sector-C, Sanwar Road, Industrial Estate",Indore,Madhya Pradesh
,12,Power Pack Industries,"32/D, Light Industrial Area",Bhilai,Madhya Pradesh
,14,Hans Enterprises,"1, Meera, Golani Complex, Opp Syndicate Bank, Off Vasai Vajreshwari Road, Waliv, Vasai ",Thane,Maharashtra
,15,Indian Lead Limited," L.B.S. Marg, Majiwada",Thane,Maharashtra
,18,"Maharashtra Lead Pvt. Ltd.Dist. Pune, Maharashtra.","Gat No. 517/518, Aalandi Markal Road, Village Solu, Taluka Khed",Pune,Maharashtra
,20,N. V. Metals & Alloys,", 270/72, Annapurna Niwas, Ground Floor, Shop No. 3, Jagannath Shankar Seth Road",Mumbai,Maharashtra
,,,,,
