name;address;phone;description;tags;lat;long
Ladybug;Av Joao Crisostomo 23 B, Lisbon, Portugal;961351233;Serves meat, vegan options available. Juice and smoothie bar using fresh organic fruits and vegetables with no added sugar. Offers light food and muffins, prepared and packaged salads. Sells a small selection of fresh fruits and vegetables. Since 2013.;Vegan-friendly, Organic, Western, Juice bar, Take-out, Non-veg;38.736535;-9.1417862
Orange;Rua da Esperanca 33, Lisbon, Portugal;213424873;"Serves meat, vegan options available. Vegetarian items include couscous, soja, pasta. Full menu for approx 10 to 14€ including ""all you can drink"" sangria, etc. Frequented by young people and students living in the area.";Western, Beer/Wine, Portuguese, Non-veg;38.7081999;-9.1546599
Organi Chiado;Calçada Nova de São Francisco 2, Lisbon, Portugal;0216065121;Serves fish, vegan options available. Est. December 2016, Portuguese restaurant with a seasonal base menu made with products that come from the earth. All vegan except for fish. Products are sourced from local producers and are organic where possible. All food and desserts are sugar-free. Serves lunch, dinner, drinks and coffee. Near Baixa-Chiado Metro.;Vegan-friendly, International, Macrobiotic, Organic, Raw, Juice bar, Beer/Wine, Delivery, Take-out, European, Portugese, Non-veg;38.7103481;-9.1395754
Pachamama;Boqueirão do Duro 46, Lisbon, Portugal;215987650;Serves meat, vegan options available. Organic restaurant est. Apr 2015 offering many vegetarian meals. Has vegan choices such as raw salad, polenta, and curry.;Vegan-friendly, Organic, Mediterranean, Juice bar, Beer/Wine, Portuguese, Non-veg;38.7086493;-9.1515338
Passage to India;Av Praia da Vitoria Nr 45, Lisbon, Portugal;+351-21-354-40-73;Serves meat, vegan options available. Indian restaurant with vegan choices.;Vegan-friendly, Lacto, Ovo, Indian, Beer/Wine, Non-veg;38.7338936;-9.1438765
Primo Basílico;Rua dos Remedios 37 , Lisbon, Portugal;+351-218-885-287;Serves meat, vegan options available. An Italian pizza restaurant with vegan choices.;Vegan-friendly, Pizza, Italian, Fast food, Take-out, Non-veg;38.7119749;-9.1273069
Real Nepal;Avenida da República, 66 B, Lisbon, Portugal;+351-211919222;"Serves meat, vegan options available. Nepali cuisine menu with some vegetarian dishes; ask waiter for vegan.";Lacto, Indian, Beer/Wine, Take-out, Nepalese, Non-veg;38.7383433;-9.145876
Restaurante Os Arquinhos;Rua do Carmo 40, Lisboa, Ericeira, Lisbon, Portugal;351-261-862-857, 351-916-144-909;Serves meat, vegan options available. Serves several vegan dishes.;Vegan-friendly, Portuguese, Non-veg;38.9696875;-9.4194032
Romana Pizza;Rua da Conceição, 44, Lisbon, Portugal;0218862715;Serves meat, vegan options available. Small takeaway place offering pizza slices. Crust is made from whole milled flour. Has clearly marked vegan and vegetarian options.;Vegan-friendly, Lacto, Pizza, Italian, Organic, Fast food, Take-out only, Non-veg;38.709891;-9.1359972
Sete Pecados - Siam Square;Avenida Luis Bivar, 7A, Lisbon, Portugal;+351-213160529;"Serves meat, vegan options available. Offers veggie choices for lunch and dinner. Drinks include fresh juices, Thai juice, Thai and Portuguese beer. Lunch is a set price; dinner a la carte price. Mon-Fri reservations for lunch advised.";Ovo, Thai, Juice bar, Beer/Wine, Take-out, Asian, Non-veg;38.7338597;-9.149696
Tamarind;Rua da Gloria, 43, Lisbon, Portugal;21-3460796, 93-9615623;Serves meat, vegan options available. Has a variety of vegan curries. Relaxing atmosphere.;Vegan-friendly, Indian, Non-veg;38.7173173;-9.1449719
Tao;Rua dos Douradores, 10, Lisbon, Portugal;218850046;Serves meat, vegan options available. Vegetarian except for fish on Wednesday. Tão Restaurante Natura is a large restaurant with plenty of seating. Offers set meals. Dishes might include vegetable sushi, risotto, grilled aubergine, and salad. Has sugar-free dessert. A small store area. Open hours vary and sometimes changes without notice - call ahead.;Vegan-friendly, Macrobiotic, Organic, Take-out, Portuguese, Non-veg;38.7119516;-9.1368713
Velocite Cafe;Av. Duque de Ávila 120A, Lisbon, Portugal;+351-213545252;Serves meat, vegan options available. Bike shop and restaurant. Offers breakfast and brunch food, burgers and sandwiches, coffee and drinks. Ask your waiter to make a vegetarian dish vegan. Has quinoa salad, veggie burger, vegetarian brunch.;Lacto, Ovo, Western, Mediterranean, Beer/Wine, Take-out, European, Non-veg;38.7352077;-9.1406726
